1674261007953264641,@elschneider33 We will definitely let the team know that you'd like to see them on the shelves! 👍 🍫,2023-06-29 03:38:25+00:00
1674235551950557185,@SammyWeak We will definitely let the team know that you'd like to see them on the shelves! 👍 🍫,2023-06-29 01:57:16+00:00
1674186608185049089,@vueruh We will definitely let the team know that you'd like to see them on the shelves! 👍 🍫,2023-06-28 22:42:46+00:00
1674165048539766786,"@mollykearley_ That's not the break you were expecting! If you contact our team via email, they'll be able to help!… https://t.co/8jiRHJmFO6",2023-06-28 21:17:06+00:00
1674119639192748034,"🥄 UK
🥄 France
🥄 Belgium
🥄 Spain
🥄 Portugal
🥄 Switzerland
🥄 Germany
🥄 Austria
🥄 Malta
🥄 Italy
🥄 Greece
🥄 KSA
🥄 UAE
🥄… https://t.co/1uWmfg0S6l",2023-06-28 18:16:40+00:00
1674119228364935177,KitKat® Cereal is in stores now! Who’s tried it? 😋 Take a look below to find out where it’s available! 🥄 https://t.co/O5G4moAAOf,2023-06-28 18:15:02+00:00
1674044480314277890,The sound of a KitKat® snapping 🍫 &gt;,2023-06-28 13:18:01+00:00
1673846073205334017,"@tckyuta0 @KitKat_US, looks like something's missing here! 🍫",2023-06-28 00:09:37+00:00
1673842905729974272,@cookiegigan Great for a break right?! 🍫,2023-06-27 23:57:01+00:00
1673752283782193174,@rcarmstrong @KitKat_US  looks like something's missing here! 🍫,2023-06-27 17:56:55+00:00
1673696182772613122,"We'll add one minute to our break for every like this tweet gets. Twitter, do your thing! 🍫 ☕",2023-06-27 14:14:00+00:00
1673685980442705921,@leanne8391x We'll be sure to let the rest of the KitKat team know that you'd love to see it in Leanne!,2023-06-27 13:33:27+00:00
1673570658649886721,"@niamhaileen Definitely not the break you were looking for, where in the world are you located, so we can put this right! 🍫",2023-06-27 05:55:13+00:00
1673508202825015297,"@JJDCFL Sure, here you go! 👉🍫",2023-06-27 01:47:02+00:00
1673489682741485570,@sisisimon Breaktime + 🍫 = 🤗,2023-06-27 00:33:26+00:00
1673488522219511809,@jabrilyousef You've got excellent taste in breaks! 🍫,2023-06-27 00:28:50+00:00
1673477761619353600,"@CryptdCd Hi, thank you for getting in touch! Where in the world are you located, so we can put you in touch with the best team! 🍫",2023-06-26 23:46:04+00:00
1673460280456609794,"@TheBokehBunny Some say it's a biscuit... Others say it's a chocolate bar, but we say it's the PERFECT break 🍫",2023-06-26 22:36:36+00:00
1673418731748315137,@JPSimpson88 We will definitely let the team know that you'd like to see them on the shelves! 👍 🍫,2023-06-26 19:51:30+00:00
1673366823071367178,@DaRealDemonic Here's one from our personal stash! 👉🍫,2023-06-26 16:25:14+00:00
